factor,period_count,ic_mean,ic_std,ic_win_rate,ic_monthly_icir,ic_annual_icir,rank_ic_mean,rank_ic_std,rank_ic_win_rate,rank_ic_monthly_icir,rank_ic_annual_icir,average_sample_count
Volatility,54,0.010836652441441897,0.18321064318636127,0.5,0.059148596680700966,0.20489674929474783,0.05908506041647567,0.21759789455173986,0.5925925925925926,0.2715332358256186,0.9406187207871062,4721.425925925926
Dividend_Yield,54,0.013950243153542487,0.14218888982038416,0.46296296296296297,0.09811064121229662,0.33986523068571745,0.04360571310105542,0.1703630966239654,0.5925925925925926,0.25595750467781353,0.8866628053610431,3492.4074074074074
PE_TTM,54,0.005291450810052569,0.06991239527769073,0.5185185185185185,0.07568687625470455,0.26218703027865337,0.03476752385112114,0.17146643524656335,0.5370370370370371,0.20276577046187805,0.7024012329516429,3920.5925925925926
Main_Net_In,54,-0.0007994276468769318,0.062123174214285246,0.48148148148148145,-0.012868428842985669,-0.04457754513927192,0.005329970362234494,0.06744265187171677,0.6111111111111112,0.07902966764077834,0.2737667993182202,4769.222222222223
Revenue_Growth,54,0.005564390972005201,0.06814592848769535,0.46296296296296297,0.08165404882567452,0.28285792241955615,0.005251087188352753,0.09053581071914232,0.48148148148148145,0.05800011229415651,0.2009182826763587,4984.518518518518
Debt_to_Equity,54,0.0034299286428659008,0.08132508846394812,0.5370370370370371,0.042175529195844746,0.1461003188066153,0.0012024606865251866,0.09927123211505177,0.5370370370370371,0.012112881656707736,0.041960252910973744,4984.111111111111
ROE,54,-0.007814484121907014,0.09202985289445645,0.42592592592592593,-0.08491249172014846,-0.29414549971313747,-0.005070506758553344,0.13801644497730942,0.4074074074074074,-0.03673842460865414,-0.12726563602445543,4984.407407407408
Holder_Concen,54,-0.003826908994279773,0.0412425273101106,0.4074074074074074,-0.09279036091810036,-0.3214352391256066,-0.007998436429985586,0.043285534582390914,0.42592592592592593,-0.18478312690723817,-0.6401075283695684,4549.87037037037
Gross_Margin,54,-0.010377398616724461,0.07777600100687648,0.48148148148148145,-0.13342674452762046,-0.4622038012207026,-0.00917204804177613,0.09132925837285355,0.5,-0.10042836441670266,-0.34789405938154266,4888.777777777777
Momentum_60D,54,-0.029920459205218127,0.1594565474937707,0.5,-0.18764020465441844,-0.6500047360081497,-0.057574785924716265,0.162482157915353,0.42592592592592593,-0.3543452811274856,-1.2274880606701644,4934.074074074074
Turnover_20D,54,-0.03939342251829842,0.13942676968922768,0.42592592592592593,-0.2825384437013319,-0.9787418791642913,-0.07864486374575075,0.16623092788458171,0.3148148148148148,-0.4731060864940599,-1.6388875583555749,4967.259259259259
