factor,start_date,end_date,trading_days,annual_return,annual_volatility,max_drawdown,sharpe,cumulative_return,benchmark_annual_return,excess_annual_return,average_monthly_turnover,annualized_turnover,missing_return_count,suspended_return_count,invalid_missing_return_count,average_invalid_missing_weight,max_invalid_missing_weight
PE_TTM,20220208,20260707,1070,0.19299645064045734,0.26451963735834566,-0.30719220176297235,0.729611051065386,1.1154963023844116,0.031097814087550413,0.16189863655290693,0.1707801348683297,2.0493616184199563,661,537,124,0.00014808837997560526,0.00261437908496732
Volatility,20220208,20260707,1070,0.15084085534485125,0.2199936626808685,-0.30905089116738194,0.6856600026868362,0.8158199288396921,0.031097814087550413,0.11974304125730084,0.1259182965483189,1.511019558579827,782,748,34,3.545675563929596e-05,0.0012285012285012285
Dividend_Yield,20220208,20260707,1070,0.14470549937521104,0.2113227273937945,-0.23340546296135478,0.6847607030244127,0.7750705043240642,0.031097814087550413,0.11360768528766063,0.13714355723392063,1.6457226868070476,365,353,12,1.681477767239175e-05,0.0015698587127158557
Revenue_Growth,20220208,20260707,1070,0.13875222628127792,0.261614793888222,-0.3486107615516951,0.5303684253443306,0.7362023525326247,0.031097814087550413,0.10765441219372751,0.13368684525972796,1.6042421431167355,1202,1056,146,0.00014194510310380307,0.005555555555555556
Debt_to_Equity,20220208,20260707,1070,0.11632311284423213,0.24282195383001476,-0.2926067555171765,0.47904693545816307,0.5955760296228598,0.031097814087550413,0.08522529875668172,0.07016914981078347,0.8420297977294016,1118,984,134,0.000131205502159936,0.0055617352614015575
Holder_Concen,20220208,20260707,1070,0.10957203672485072,0.24631078490507624,-0.2956832992546312,0.4448527772223933,0.5550046784228988,0.031097814087550413,0.0784742226373003,0.09230855307938707,1.1077026369526448,731,685,46,4.479235894355511e-05,0.0012165450121654502
Gross_Margin,20220208,20260707,1070,0.10754650746296224,0.25265775644711136,-0.32019506795049835,0.4256608187110015,0.5429872631110579,0.031097814087550413,0.07644869337541182,0.06151310546935207,0.7381572656322248,1071,898,173,0.00017001986855414838,0.003095975232198142
ROE,20220208,20260707,1070,0.10691983578970676,0.23925088455198645,-0.27456169569149913,0.4468942131182563,0.5392836566883754,0.031097814087550413,0.07582202170215635,0.14718414390891285,1.766209726906954,726,608,118,0.00011665303004824069,0.0033149171270718232
Momentum_60D,20220208,20260707,1070,0.08049663843830235,0.2645993882760806,-0.3662508441358633,0.30422080324053086,0.389204268469475,0.031097814087550413,0.049398824350751935,0.45274987964026203,5.432998555683144,1588,1566,22,2.0144638072362835e-05,0.000998003992015968
Main_Net_In,20220208,20260707,1070,0.05898099619893227,0.2393603612033295,-0.35301458631360394,0.2464108756454861,0.27548673257439416,0.031097814087550413,0.027883182111381855,0.7171476982712262,8.605772379254713,1194,1016,178,0.0001829822040462786,0.004602991944764097
Turnover_20D,20220208,20260707,1070,0.03258326258354649,0.29354053123067253,-0.42905548121961656,0.11100089805976958,0.14584622085852805,0.031097814087550413,0.0014854484959960779,0.3983074437128877,4.779689324554652,1382,1133,249,0.0002388850528907514,0.0050968399592252805
