factor,annual_return_raw,annual_return_neutralized,annual_return_delta,excess_annual_return_raw,excess_annual_return_neutralized,excess_annual_return_delta,sharpe_raw,sharpe_neutralized,sharpe_delta,max_drawdown_raw,max_drawdown_neutralized,max_drawdown_delta,cumulative_return_raw,cumulative_return_neutralized,cumulative_return_delta,average_monthly_turnover_raw,average_monthly_turnover_neutralized,average_monthly_turnover_delta
PE_TTM,0.09474587036860749,0.19299645064045734,0.09825058027184985,0.06364805628105707,0.16189863655290693,0.09825058027184985,0.49534884652081057,0.729611051065386,0.23426220454457547,-0.17909520430160675,-0.30719220176297235,-0.1280969974613656,0.4686746070705168,1.1154963023844116,0.6468216953138948,0.10445436594305844,0.1707801348683297,0.06632576892527127
Volatility,0.09131265038805636,0.15084085534485125,0.059528204956794895,0.06021483630050595,0.11974304125730084,0.059528204956794895,0.499340068457604,0.6856600026868362,0.18631993422923226,-0.22434420026124768,-0.30905089116738194,-0.08470669090613425,0.4492171455321772,0.8158199288396921,0.36660278330751495,0.09809293033959354,0.1259182965483189,0.02782536620872536
ROE,0.06290500251345832,0.10691983578970676,0.044014833276248444,0.031807188425907906,0.07582202170215635,0.044014833276248444,0.285719523318849,0.4468942131182563,0.1611746897994073,-0.336798444343849,-0.27456169569149913,0.06223674865234985,0.295675599892931,0.5392836566883754,0.2436080567954444,0.12728904118006149,0.14718414390891285,0.019895102728851366
Main_Net_In,0.018773146240645522,0.05898099619893227,0.040207849958286745,-0.012324667846904891,0.027883182111381855,0.040207849958286745,0.07651045058424503,0.2464108756454861,0.1699004250612411,-0.3976293229587585,-0.35301458631360394,0.044614736645154585,0.08217444565412246,0.27548673257439416,0.1933122869202717,0.7477654217109458,0.7171476982712262,-0.03061772343971969
Gross_Margin,0.07959188794613481,0.10754650746296224,0.027954619516827428,0.0484940738585844,0.07644869337541182,0.027954619516827428,0.31451921659429866,0.4256608187110015,0.11114160211670282,-0.3402222479775441,-0.32019506795049835,0.020027180027045732,0.38427179787478183,0.5429872631110579,0.1587154652362761,0.0509566519310714,0.06151310546935207,0.01055645353828067
Dividend_Yield,0.12048932186647976,0.14470549937521104,0.024216177508731285,0.08939150777892935,0.11360768528766063,0.024216177508731285,0.6192357051574775,0.6847607030244127,0.06552499786693522,-0.19451588197971748,-0.23340546296135478,-0.038889580981637306,0.6210139661042777,0.7750705043240642,0.1540565382197865,0.12236567795583919,0.13714355723392063,0.01477787927808144
Momentum_60D,0.06824118030344195,0.08049663843830235,0.012255458134860397,0.03714336621589154,0.049398824350751935,0.012255458134860397,0.24848709529422866,0.30422080324053086,0.0557337079463022,-0.4310694204176341,-0.3662508441358633,0.06481857628177079,0.3235209655190445,0.389204268469475,0.06568330295043046,0.45412615404889073,0.45274987964026203,-0.001376274408628697
Holder_Concen,0.09997580147389606,0.10957203672485072,0.009596235250954654,0.06887798738634565,0.0784742226373003,0.009596235250954654,0.4150463187527397,0.4448527772223933,0.02980645846965363,-0.2872750861300216,-0.2956832992546312,-0.008408213124609598,0.4986978650490914,0.5550046784228988,0.056306813373807385,0.08647510603742198,0.09230855307938707,0.00583344704196509
Debt_to_Equity,0.11499889394583884,0.11632311284423213,0.0013242188983932923,0.08390107985828843,0.08522529875668172,0.0013242188983932923,0.41680602555510576,0.47904693545816307,0.062240909903057307,-0.3446483694117586,-0.2926067555171765,0.05204161389458206,0.5875549208303121,0.5955760296228598,0.008021108792547693,0.05211187630725857,0.07016914981078347,0.0180572735035249
Turnover_20D,0.03669232727715466,0.03258326258354649,-0.0041090646936081665,0.005594513189604244,0.0014854484959960779,-0.0041090646936081665,0.11825660792292599,0.11100089805976958,-0.0072557098631564065,-0.44412094979118755,-0.42905548121961656,0.015065468571570984,0.1653326254065377,0.14584622085852805,-0.01948640454800965,0.39289128244234556,0.3983074437128877,0.005416161270542119
Revenue_Growth,0.14488993431825548,0.13875222628127792,-0.006137708036977552,0.11379212023070506,0.10765441219372751,-0.006137708036977552,0.5471296241708815,0.5303684253443306,-0.016761198826550916,-0.39087681685607534,-0.3486107615516951,0.04226605530438021,0.7762851842327501,0.7362023525326247,-0.04008283170012539,0.12424499091726345,0.13368684525972796,0.009441854342464515
