factor,start_date,end_date,trading_days,annual_return,annual_volatility,max_drawdown,sharpe,cumulative_return,benchmark_annual_return,excess_annual_return,average_monthly_turnover,annualized_turnover,missing_return_count,suspended_return_count,invalid_missing_return_count,average_invalid_missing_weight,max_invalid_missing_weight
Revenue_Growth,20220208,20260707,1070,0.14480106016537309,0.2648436764014074,-0.39074108045911826,0.5467416180475722,0.7756997839193978,0.031097814087550413,0.11370324607782267,0.12422745444139364,1.4907294532967237,1120,1012,108,0.00010468008729716374,0.003333333333333333
Dividend_Yield,20220208,20260707,1070,0.12048932186647976,0.19457747811205134,-0.19451588197971748,0.6192357051574775,0.6210139661042777,0.031097814087550413,0.08939150777892935,0.12236567795583919,1.4683881354700703,382,374,8,1.167972580836792e-05,0.0015698587127158557
Debt_to_Equity,20220208,20260707,1070,0.11488712754852237,0.2758987485142809,-0.3446483694117586,0.4164104700263823,0.5868793386974094,0.031097814087550413,0.08378931346097196,0.05209211268023775,0.625105352162853,1039,954,85,8.1070098957723e-05,0.002224694104560623
Holder_Concen,20220208,20260707,1070,0.09997580147389606,0.2408786609030396,-0.2872750861300216,0.4150463187527397,0.4986978650490914,0.031097814087550413,0.06887798738634565,0.08647510603742198,1.0377012724490637,752,713,39,3.827448667820121e-05,0.0012165450121654502
PE_TTM,20220208,20260707,1070,0.09474587036860749,0.19127100231296698,-0.17909520430160675,0.49534884652081057,0.4686746070705168,0.031097814087550413,0.06364805628105707,0.10445436594305844,1.2534523913167013,597,505,92,0.00010949033460881255,0.002560819462227913
Volatility,20220208,20260707,1070,0.09131265038805636,0.1828666597297292,-0.22434420026124768,0.499340068457604,0.4492171455321772,0.031097814087550413,0.06021483630050595,0.09809293033959354,1.1771151640751225,757,733,24,2.4792073357663225e-05,0.001148105625717566
Gross_Margin,20220208,20260707,1070,0.07951347852598034,0.25306255484335455,-0.34055461198104897,0.31420483593552234,0.38384496088968345,0.031097814087550413,0.04841566443842993,0.050881803878601105,0.6105816465432132,936,796,140,0.0001361314077279556,0.0041279669762641896
Momentum_60D,20220208,20260707,1070,0.06824118030344195,0.2746266570609589,-0.4310694204176341,0.24848709529422866,0.3235209655190445,0.031097814087550413,0.03714336621589154,0.45412615404889073,5.4495138485866885,1538,1520,18,1.6472420236400807e-05,0.000998003992015968
ROE,20220208,20260707,1070,0.06302462645498474,0.22016007376123703,-0.33648146441882865,0.28626728442748783,0.29629487340187444,0.031097814087550413,0.03192681236743433,0.12725101483334708,1.5270121780001649,629,605,24,2.2420949355497283e-05,0.0010121457489878543
Turnover_20D,20220208,20260707,1070,0.03669232727715466,0.3102771838430286,-0.44412094979118755,0.11825660792292599,0.1653326254065377,0.031097814087550413,0.005594513189604244,0.39289128244234556,4.7146953893081465,1606,1272,334,0.00032016671941996645,0.009174311926605505
Main_Net_In,20220208,20260707,1070,0.018773146240645522,0.2453670851143997,-0.3976293229587585,0.07651045058424503,0.08217444565412246,0.031097814087550413,-0.012324667846904891,0.7477654217109458,8.97318506053135,1101,1090,11,1.0734227260038442e-05,0.0011376564277588168
