factor,trade_date,decile,average_forward_return,stock_count
Debt_to_Equity,20220128,1,0.036099676025424306,440
Debt_to_Equity,20220128,2,0.047301717056335686,440
Debt_to_Equity,20220128,3,0.04666177752677965,440
Debt_to_Equity,20220128,4,0.04371938166696334,440
Debt_to_Equity,20220128,5,0.030239593431599935,440
Debt_to_Equity,20220128,6,0.04023271552263081,440
Debt_to_Equity,20220128,7,0.040415606820889544,440
Debt_to_Equity,20220128,8,0.03048889906153706,440
Debt_to_Equity,20220128,9,0.03053787094875108,440
Debt_to_Equity,20220128,10,0.025890392338997262,441
Debt_to_Equity,20220228,1,-0.0023355505119318164,442
Debt_to_Equity,20220228,2,-0.057063231299050256,442
Debt_to_Equity,20220228,3,-0.06483814058368764,442
Debt_to_Equity,20220228,4,-0.08247229995481638,443
Debt_to_Equity,20220228,5,-0.07575301140322001,442
Debt_to_Equity,20220228,6,-0.07354713127835276,442
Debt_to_Equity,20220228,7,-0.06716441937714186,443
Debt_to_Equity,20220228,8,-0.07144495909530328,442
Debt_to_Equity,20220228,9,-0.0823525172575205,442
Debt_to_Equity,20220228,10,-0.08762501769079073,443
Debt_to_Equity,20220331,1,-0.11482395857854107,446
Debt_to_Equity,20220331,2,-0.12534661919495443,446
Debt_to_Equity,20220331,3,-0.12468826331834869,446
Debt_to_Equity,20220331,4,-0.13556007933515904,445
Debt_to_Equity,20220331,5,-0.1387208318200821,446
Debt_to_Equity,20220331,6,-0.13381613552765276,446
Debt_to_Equity,20220331,7,-0.14073573007145498,446
Debt_to_Equity,20220331,8,-0.14197349345582716,446
Debt_to_Equity,20220331,9,-0.1461101912518277,446
Debt_to_Equity,20220331,10,-0.14319032717344754,446
Debt_to_Equity,20220429,1,0.06305243738401717,446
Debt_to_Equity,20220429,2,0.1029772384790053,447
Debt_to_Equity,20220429,3,0.11059902495830379,447
Debt_to_Equity,20220429,4,0.1077143342284413,447
Debt_to_Equity,20220429,5,0.10828287378353889,447
Debt_to_Equity,20220429,6,0.0867101457509534,447
Debt_to_Equity,20220429,7,0.09566005124514215,447
Debt_to_Equity,20220429,8,0.08843061256309424,447
Debt_to_Equity,20220429,9,0.09696944814871122,447
Debt_to_Equity,20220429,10,0.09539503770025491,447
Debt_to_Equity,20220531,1,0.05098091166291643,447
Debt_to_Equity,20220531,2,0.0656371204925802,450
Debt_to_Equity,20220531,3,0.07448942702341355,449
Debt_to_Equity,20220531,4,0.08875673257853053,450
Debt_to_Equity,20220531,5,0.07886531381555031,449
Debt_to_Equity,20220531,6,0.08231448975510768,449
Debt_to_Equity,20220531,7,0.06386635637920356,448
Debt_to_Equity,20220531,8,0.07539777865956919,448
Debt_to_Equity,20220531,9,0.06679371872427302,449
Debt_to_Equity,20220531,10,0.07553158636527525,449
Debt_to_Equity,20220630,1,0.008278166625114054,450
Debt_to_Equity,20220630,2,0.04990459522598581,452
Debt_to_Equity,20220630,3,0.061901228463865386,453
Debt_to_Equity,20220630,4,0.059114348294269196,452
Debt_to_Equity,20220630,5,0.04270289873358516,452
Debt_to_Equity,20220630,6,0.031531352214645446,453
Debt_to_Equity,20220630,7,0.029086793088644862,451
Debt_to_Equity,20220630,8,0.03967974799660459,452
Debt_to_Equity,20220630,9,0.029463996882095004,452
Debt_to_Equity,20220630,10,0.02415533890514101,453
Debt_to_Equity,20220729,1,-0.006614088086232717,455
Debt_to_Equity,20220729,2,-0.0392803039012722,456
Debt_to_Equity,20220729,3,-0.04492801879945015,456
Debt_to_Equity,20220729,4,-0.047255412527281306,456
Debt_to_Equity,20220729,5,-0.04482943854602742,456
Debt_to_Equity,20220729,6,-0.0468244532044565,456
Debt_to_Equity,20220729,7,-0.049794234528233415,456
Debt_to_Equity,20220729,8,-0.03738102150723956,456
Debt_to_Equity,20220729,9,-0.04900412629865277,456
Debt_to_Equity,20220729,10,-0.05022114617152766,456
Debt_to_Equity,20220831,1,-0.08476400145862936,461
Debt_to_Equity,20220831,2,-0.10230534111246693,461
Debt_to_Equity,20220831,3,-0.0940225245933304,461
Debt_to_Equity,20220831,4,-0.09860195416305366,461
Debt_to_Equity,20220831,5,-0.10589896442648793,462
Debt_to_Equity,20220831,6,-0.10619869869958062,461
Debt_to_Equity,20220831,7,-0.09619999622417659,461
Debt_to_Equity,20220831,8,-0.0920785243605951,461
Debt_to_Equity,20220831,9,-0.10603700917674184,461
Debt_to_Equity,20220831,10,-0.11113943449785411,462
Debt_to_Equity,20220930,1,0.024269100514847767,465
Debt_to_Equity,20220930,2,0.05735850456170513,466
Debt_to_Equity,20220930,3,0.06660707056688885,465
Debt_to_Equity,20220930,4,0.07624539859877584,466
Debt_to_Equity,20220930,5,0.07615796472050364,465
Debt_to_Equity,20220930,6,0.08160651016491018,466
Debt_to_Equity,20220930,7,0.10412788206211115,465
Debt_to_Equity,20220930,8,0.10221647784871839,466
Debt_to_Equity,20220930,9,0.11731859238006662,465
Debt_to_Equity,20220930,10,0.11416886141975494,466
Debt_to_Equity,20221031,1,0.10200071555208803,468
Debt_to_Equity,20221031,2,0.06668640317233793,469
Debt_to_Equity,20221031,3,0.06402164270294584,468
Debt_to_Equity,20221031,4,0.05768252419923551,469
Debt_to_Equity,20221031,5,0.05214515193104833,469
Debt_to_Equity,20221031,6,0.05320099381997451,468
Debt_to_Equity,20221031,7,0.051611683558833756,469
Debt_to_Equity,20221031,8,0.04728307977071558,468
Debt_to_Equity,20221031,9,0.04100509808953058,469
Debt_to_Equity,20221031,10,0.03422916348657193,469
Debt_to_Equity,20221130,1,-0.03184070391282644,472
Debt_to_Equity,20221130,2,-0.028849150861481845,473
Debt_to_Equity,20221130,3,-0.030969288003664178,473
Debt_to_Equity,20221130,4,-0.024927228339648815,473
Debt_to_Equity,20221130,5,-0.031225529502301605,473
Debt_to_Equity,20221130,6,-0.033386493322541004,472
Debt_to_Equity,20221130,7,-0.027161733988726268,473
Debt_to_Equity,20221130,8,-0.026838098319800753,473
Debt_to_Equity,20221130,9,-0.022730546782764406,473
Debt_to_Equity,20221130,10,-0.03310017165355764,473
Debt_to_Equity,20221230,1,0.05308699525724528,478
Debt_to_Equity,20221230,2,0.08003275251881704,478
Debt_to_Equity,20221230,3,0.0758063467093131,478
Debt_to_Equity,20221230,4,0.07779610312167365,478
Debt_to_Equity,20221230,5,0.07958204348308368,478
Debt_to_Equity,20221230,6,0.07637145567543169,477
Debt_to_Equity,20221230,7,0.07763868351459659,478
Debt_to_Equity,20221230,8,0.07990700383578465,478
Debt_to_Equity,20221230,9,0.07850220700856725,478
Debt_to_Equity,20221230,10,0.08202104343463473,478
Debt_to_Equity,20230131,1,0.010697906913280143,478
Debt_to_Equity,20230131,2,0.011060508920436318,479
Debt_to_Equity,20230131,3,0.0200379431808274,478
Debt_to_Equity,20230131,4,0.010312033878984802,479
Debt_to_Equity,20230131,5,0.023753777009225676,479
Debt_to_Equity,20230131,6,0.029026406313469925,477
Debt_to_Equity,20230131,7,0.029090384773789682,479
Debt_to_Equity,20230131,8,0.02494674630645124,478
Debt_to_Equity,20230131,9,0.034669307143334806,479
Debt_to_Equity,20230131,10,0.028792147370465614,479
Debt_to_Equity,20230228,1,-0.027334452519928252,481
Debt_to_Equity,20230228,2,-0.023827471266453314,481
Debt_to_Equity,20230228,3,-0.03031589474328959,482
Debt_to_Equity,20230228,4,-0.027301420126403346,481
Debt_to_Equity,20230228,5,0.00024454729333152364,482
Debt_to_Equity,20230228,6,-0.007254102380005975,480
Debt_to_Equity,20230228,7,-0.001810000631979237,481
Debt_to_Equity,20230228,8,-0.00023733758577096053,482
Debt_to_Equity,20230228,9,0.009881550301811107,481
Debt_to_Equity,20230228,10,0.010385625360477579,482
Debt_to_Equity,20230331,1,-0.007854316877035505,484
Debt_to_Equity,20230331,2,-0.03331870101669292,485
Debt_to_Equity,20230331,3,-0.03066517951032845,485
Debt_to_Equity,20230331,4,-0.029108098642992467,485
Debt_to_Equity,20230331,5,-0.040382518080930185,485
Debt_to_Equity,20230331,6,-0.024185532234156617,484
Debt_to_Equity,20230331,7,-0.03054690069622366,485
Debt_to_Equity,20230331,8,-0.03415758704141333,485
Debt_to_Equity,20230331,9,-0.029230182893466072,485
Debt_to_Equity,20230331,10,-0.04120241901437655,484
Debt_to_Equity,20230428,1,-0.03890717004025819,485
Debt_to_Equity,20230428,2,-0.007189061090543459,486
Debt_to_Equity,20230428,3,-0.004454647598325617,486
Debt_to_Equity,20230428,4,0.003288603912904762,486
Debt_to_Equity,20230428,5,-0.003066453793062189,486
Debt_to_Equity,20230428,6,0.0065662051454264455,486
Debt_to_Equity,20230428,7,0.014384056944257054,486
Debt_to_Equity,20230428,8,0.01353601103575682,486
Debt_to_Equity,20230428,9,0.03011914940475446,486
Debt_to_Equity,20230428,10,0.03062683628997922,486
Debt_to_Equity,20230531,1,0.031846545258025764,488
Debt_to_Equity,20230531,2,0.03690575184531222,489
Debt_to_Equity,20230531,3,0.037642537803599066,489
Debt_to_Equity,20230531,4,0.03788725999451508,489
Debt_to_Equity,20230531,5,0.03184941929685046,488
Debt_to_Equity,20230531,6,0.018981619347903742,489
Debt_to_Equity,20230531,7,0.01888767040851724,489
Debt_to_Equity,20230531,8,0.023116607122332423,489
Debt_to_Equity,20230531,9,0.011506204573517257,489
Debt_to_Equity,20230531,10,0.0018179714377699254,490
Debt_to_Equity,20230630,1,0.06325522283030888,487
Debt_to_Equity,20230630,2,0.018864118776649157,491
Debt_to_Equity,20230630,3,0.0074111703439453,494
Debt_to_Equity,20230630,4,0.0001972864961687426,493
Debt_to_Equity,20230630,5,-0.0008686603778336678,494
Debt_to_Equity,20230630,6,-0.003214247935087905,493
Debt_to_Equity,20230630,7,-0.014055552061938033,493
Debt_to_Equity,20230630,8,-0.019908144211503793,494
Debt_to_Equity,20230630,9,-0.018730001496781522,493
Debt_to_Equity,20230630,10,-0.015850975871724658,494
Debt_to_Equity,20230731,1,-0.050496582134312316,496
Debt_to_Equity,20230731,2,-0.051704248047447866,497
Debt_to_Equity,20230731,3,-0.05212638391722521,497
Debt_to_Equity,20230731,4,-0.036800435080707634,497
Debt_to_Equity,20230731,5,-0.039129827122959135,497
Debt_to_Equity,20230731,6,-0.03777628877939285,497
Debt_to_Equity,20230731,7,-0.023589422242812772,497
Debt_to_Equity,20230731,8,-0.02657203428398607,497
Debt_to_Equity,20230731,9,-0.020184697173326424,497
Debt_to_Equity,20230731,10,-0.020551457901979278,497
Debt_to_Equity,20230831,1,-0.024585716760493634,500
Debt_to_Equity,20230831,2,-0.005176949701792253,500
Debt_to_Equity,20230831,3,0.0018690310524336964,500
Debt_to_Equity,20230831,4,0.005989987558383287,500
Debt_to_Equity,20230831,5,-0.004402207028285589,501
Debt_to_Equity,20230831,6,-0.006950196571449911,500
Debt_to_Equity,20230831,7,-0.008871998700694854,500
Debt_to_Equity,20230831,8,-0.002393322047405029,500
Debt_to_Equity,20230831,9,-0.014569102540109347,500
Debt_to_Equity,20230831,10,-0.015272349947526851,501
Debt_to_Equity,20230928,1,-0.008808339026834386,501
Debt_to_Equity,20230928,2,-0.008390835325091725,502
Debt_to_Equity,20230928,3,-0.007114859698098641,502
Debt_to_Equity,20230928,4,-0.00564707421635684,502
Debt_to_Equity,20230928,5,-0.001081764503762159,502
Debt_to_Equity,20230928,6,-0.0008393062924784612,501
Debt_to_Equity,20230928,7,-0.00697971737118348,502
Debt_to_Equity,20230928,8,0.0025981250661433713,502
Debt_to_Equity,20230928,9,-0.014336918973958633,502
Debt_to_Equity,20230928,10,-0.0045019862002929865,502
Debt_to_Equity,20231031,1,0.02321150583713621,503
Debt_to_Equity,20231031,2,0.02761048701178077,503
Debt_to_Equity,20231031,3,0.041172790795240714,503
Debt_to_Equity,20231031,4,0.04408142690314711,503
Debt_to_Equity,20231031,5,0.05228342114295327,504
Debt_to_Equity,20231031,6,0.05993829534760438,503
Debt_to_Equity,20231031,7,0.07004671104566296,502
Debt_to_Equity,20231031,8,0.07301071759532218,503
Debt_to_Equity,20231031,9,0.08289848882390614,503
Debt_to_Equity,20231031,10,0.07269294220284335,503
Debt_to_Equity,20231130,1,-0.016320044385441428,504
Debt_to_Equity,20231130,2,-0.017722102961016596,505
Debt_to_Equity,20231130,3,-0.0011639105234579343,505
Debt_to_Equity,20231130,4,-0.01065895886307633,505
Debt_to_Equity,20231130,5,-0.007572837585159938,505
