factor,period_count,monotonic_up_period_share,average_spearman_decile_ic,d1_mean_return,d1_annual_return,d2_mean_return,d2_annual_return,d3_mean_return,d3_annual_return,d4_mean_return,d4_annual_return,d5_mean_return,d5_annual_return,d6_mean_return,d6_annual_return,d7_mean_return,d7_annual_return,d8_mean_return,d8_annual_return,d9_mean_return,d9_annual_return,d10_mean_return,d10_annual_return
Main_Net_In,54,0.0,0.08439955106621773,0.004426922330963302,0.014859471089329945,0.008287341907848892,0.06542342395832845,0.011034821122088093,0.10284020984832232,0.012601322456260297,0.12491006204999211,0.013782214117525511,0.14037048338965175,0.015683339620926398,0.16521944359259533,0.01481061617609583,0.15360307371844018,0.013478561357566336,0.1376350491272751,0.007644533719907116,0.06153700526801664,0.0019510872359138473,-0.015396261233774022
Revenue_Growth,54,0.018518518518518517,0.04377104377104376,0.008897172483373158,0.06541247399116701,0.009070056766529533,0.07438455714759207,0.00904313466361045,0.07779146956089966,0.00961074467068178,0.08774211627978046,0.009991125232915612,0.09273028289284468,0.009926993678607237,0.09030846738833698,0.013233271304903307,0.1321055960995241,0.012860103932009903,0.12629889055841592,0.013674674147085277,0.13326802474212407,0.013357302039211975,0.12631371219349097
Turnover_20D,54,0.0,0.04062850729517395,0.008678052803306024,0.08440551995563661,0.009791928037480637,0.09487416867466636,0.011650377121192953,0.1147423921398989,0.012731305684545887,0.12567218518669865,0.012445756642752506,0.12022456707512452,0.013132777988327403,0.12547368587091068,0.014400206632294453,0.1405236186207095,0.014786866714127576,0.14298904016128122,0.011400303595728514,0.09327915524848085,0.0016692312241298913,-0.032774469718862
Dividend_Yield,54,0.037037037037037035,0.01167227833894502,0.009789453244431347,0.06769085860615331,0.009545312074600644,0.07214171761513533,0.011099040290869755,0.09301437376630117,0.010034337682656632,0.08509091738787644,0.012317543826287962,0.11482190868469155,0.010513788874703188,0.09540437059507667,0.009864030936059176,0.09057256116378376,0.011440974360521014,0.11482847846618616,0.010562823328007395,0.10789182991234747,0.010431945513444315,0.11253547217291504
Debt_to_Equity,54,0.0,0.011447811447811445,0.007918110388831119,0.07173538154913395,0.009937539405669025,0.09130964654628171,0.011809704773749664,0.11524027425113381,0.01166745075823419,0.11078145956171803,0.01105256672650362,0.10202137959672553,0.011873216858786438,0.11133063989767389,0.011166842383229736,0.10197684619606617,0.011693379202298907,0.10745766533666945,0.011700501743762245,0.1034306450084439,0.011016134524089468,0.09179604807851871
Momentum_60D,54,0.018518518518518517,0.00965207631874297,0.011068252021737009,0.08945751726930506,0.011421623964171347,0.10155608384627879,0.012068337204493015,0.11416050786888898,0.011566116185117012,0.11176256626825753,0.012649283031668127,0.1262363395736692,0.012231644767109997,0.1224037035926604,0.010068776412219935,0.09399606062013244,0.01125162660169511,0.10647215507050944,0.01216876133778008,0.11156110529757424,0.0063668059815710654,0.021983974831597308
PE_TTM,54,0.018518518518518517,-0.0002244668911335695,0.010102458963086,0.07809115775956377,0.009983508565240431,0.0773226305203345,0.011287960902894755,0.09407504071895256,0.011296917653038634,0.0991054055036793,0.011735956933239837,0.10714209421156906,0.011378918621955888,0.10526796765142543,0.009868141630553981,0.08865052101215887,0.010529296369041284,0.10096796560739052,0.009270354716469982,0.09080449254299139,0.008152737709685316,0.08433600147719211
Volatility,54,0.07407407407407407,-0.02222222222222224,0.012155390216262303,0.07501729035085902,0.011939449679723437,0.09407695280552986,0.013764768119494904,0.12476777897137858,0.011850359266103852,0.10723792707648272,0.012023402676012736,0.11299082146711892,0.012788324220872994,0.12687016848685428,0.011813113745046481,0.11712903281124643,0.01204735793491594,0.12468425957290741,0.008311365937393313,0.0804476058549577,0.008386542223212891,0.08932680535621862
Gross_Margin,54,0.0,-0.05768799102132434,0.010347548254550788,0.09566765209458006,0.010068990872844373,0.09134455501707195,0.011694704350326015,0.11093545371951774,0.013675544577686704,0.13655565934479497,0.012520782947135115,0.12053010119789431,0.01301875381898127,0.12379369936449192,0.010982129087010477,0.09839059821780483,0.010846296971722933,0.09838522929780869,0.010705850293865211,0.09417228693212998,0.006991696975218764,0.04618782928215337
Holder_Concen,54,0.0,-0.07093153759820424,0.010327820324311017,0.09470772759898072,0.011749452757487398,0.10925185038678387,0.011654823916034214,0.10642323726355363,0.010940058317514807,0.09624291472524571,0.009718350216056104,0.08058384061947077,0.011849638584773194,0.11082293562245993,0.011838368346363932,0.11023482116707917,0.01012629446549466,0.09112550743754566,0.011077649112837751,0.10206201797268544,0.008579459376688034,0.07297047678364699
ROE,54,0.0,-0.1362514029180696,0.013021783515274124,0.11334674490927066,0.012815295146336881,0.1145660780930382,0.011215521216687218,0.1006234627815994,0.01211993215105951,0.11417181263587106,0.011867724454308235,0.11172403980758672,0.01164305739296713,0.11100933383251976,0.012545266545582197,0.12477950680415506,0.010632842295250786,0.10188221799483865,0.009504561686220667,0.08847903778884847,0.004412721067282358,0.023771684629296574
