factor,trade_date,valid_stock_count,total_stock_count,average_available_component_count,configured_component_count,available_weight_sum_min,available_weight_sum_max
AOB_add_Debt_to_Equity,20220128,4351,4424,4.382007233273056,5,0.0,1.0
AOB_add_Debt_to_Equity,20220228,4393,4446,4.401484480431849,5,0.0,1.0
AOB_add_Debt_to_Equity,20220331,4427,4480,4.400446428571429,5,0.0,1.0
AOB_add_Debt_to_Equity,20220429,4372,4430,4.395936794582393,5,0.0,1.0
AOB_add_Debt_to_Equity,20220531,4452,4498,4.347265451311694,5,0.0,1.0
AOB_add_Debt_to_Equity,20220630,4490,4524,4.38815207780725,5,0.0,1.0
AOB_add_Debt_to_Equity,20220729,4521,4557,4.4351547070441075,5,0.0,1.0
AOB_add_Debt_to_Equity,20220831,4570,4609,4.424170101974398,5,0.0,1.0
AOB_add_Debt_to_Equity,20220930,4614,4655,4.419763694951665,5,0.0,1.0
AOB_add_Debt_to_Equity,20221031,4640,4685,4.4036286019210245,5,0.0,1.0
AOB_add_Debt_to_Equity,20221130,4679,4727,4.4066003807911995,5,0.0,1.0
AOB_add_Debt_to_Equity,20221230,4710,4779,4.392969240426868,5,0.0,1.0
AOB_add_Debt_to_Equity,20230131,4716,4785,4.396865203761755,5,0.0,1.0
AOB_add_Debt_to_Equity,20230228,4742,4813,4.390816538541451,5,0.0,1.0
AOB_add_Debt_to_Equity,20230331,4771,4846,4.388361535286834,5,0.0,1.0
AOB_add_Debt_to_Equity,20230428,4748,4824,4.367537313432836,5,0.0,1.0
AOB_add_Debt_to_Equity,20230531,4825,4890,4.310838445807771,5,0.0,1.0
AOB_add_Debt_to_Equity,20230630,4888,4939,4.32820408989674,5,0.0,1.0
AOB_add_Debt_to_Equity,20230731,4920,4968,4.365338164251208,5,0.0,1.0
AOB_add_Debt_to_Equity,20230831,4953,5001,4.354729054189162,5,0.0,1.0
AOB_add_Debt_to_Equity,20230928,4974,5018,4.360900757273814,5,0.0,1.0
AOB_add_Debt_to_Equity,20231031,4991,5032,4.365659777424483,5,0.0,1.0
AOB_add_Debt_to_Equity,20231130,5005,5049,4.3695781342840165,5,0.0,1.0
AOB_add_Debt_to_Equity,20231229,5017,5065,4.371964461994077,5,0.0,1.0
AOB_add_Debt_to_Equity,20240131,5039,5085,4.372074729596854,5,0.0,1.0
AOB_add_Debt_to_Equity,20240229,5048,5089,4.372568284535272,5,0.0,1.0
AOB_add_Debt_to_Equity,20240329,5058,5099,4.380858991959208,5,0.0,1.0
AOB_add_Debt_to_Equity,20240430,5022,5064,4.378751974723539,5,0.0,1.0
AOB_add_Debt_to_Equity,20240531,5061,5093,4.3461613979972515,5,0.0,1.0
AOB_add_Debt_to_Equity,20240628,5071,5101,4.387571064497157,5,0.0,1.0
AOB_add_Debt_to_Equity,20240731,5078,5100,4.455490196078431,5,0.0,1.0
AOB_add_Debt_to_Equity,20240830,5084,5108,4.452819107282694,5,0.0,1.0
AOB_add_Debt_to_Equity,20240930,5084,5110,4.458121330724071,5,0.0,1.0
AOB_add_Debt_to_Equity,20241031,5088,5116,4.446833463643472,5,0.0,1.0
AOB_add_Debt_to_Equity,20241129,5103,5132,4.4485580670303975,5,0.0,1.0
AOB_add_Debt_to_Equity,20241231,5110,5140,4.450194552529183,5,0.0,1.0
AOB_add_Debt_to_Equity,20250127,5128,5157,4.451037424859415,5,0.0,1.0
AOB_add_Debt_to_Equity,20250228,5129,5155,4.453540252182347,5,0.0,1.0
AOB_add_Debt_to_Equity,20250331,5133,5161,4.455338112768843,5,0.0,1.0
AOB_add_Debt_to_Equity,20250430,5100,5127,4.443339184708407,5,0.0,1.0
AOB_add_Debt_to_Equity,20250530,5131,5159,4.387672029463074,5,0.0,1.0
AOB_add_Debt_to_Equity,20250630,5149,5181,4.372707971434086,5,0.0,1.0
AOB_add_Debt_to_Equity,20250731,5153,5191,4.392795222500482,5,0.0,1.0
AOB_add_Debt_to_Equity,20250829,5153,5194,4.386022333461686,5,0.0,1.0
AOB_add_Debt_to_Equity,20250930,5161,5201,4.385118246491059,5,0.0,1.0
AOB_add_Debt_to_Equity,20251031,5167,5213,4.3771340878572795,5,0.0,1.0
AOB_add_Debt_to_Equity,20251128,5168,5214,4.377253548139624,5,0.0,1.0
AOB_add_Debt_to_Equity,20251231,5187,5237,4.372923429444338,5,0.0,1.0
AOB_add_Debt_to_Equity,20260130,5193,5248,4.369664634146342,5,0.0,1.0
AOB_add_Debt_to_Equity,20260227,5202,5257,4.370363325090356,5,0.0,1.0
AOB_add_Debt_to_Equity,20260331,5206,5265,4.370750237416904,5,0.0,1.0
AOB_add_Debt_to_Equity,20260430,5211,5277,4.358537047564904,5,0.0,1.0
AOB_add_Debt_to_Equity,20260529,5231,5293,4.3221235594181,5,0.0,1.0
AOB_add_Debt_to_Equity,20260630,5228,5297,4.325089673400038,5,0.0,1.0
AOB_add_Gross_Margin,20220128,4366,4424,4.365732368896926,5,0.0,1.0
AOB_add_Gross_Margin,20220228,4408,4446,4.384840305892937,5,0.0,1.0
AOB_add_Gross_Margin,20220331,4439,4480,4.383482142857143,5,0.0,1.0
AOB_add_Gross_Margin,20220429,4374,4430,4.376523702031602,5,0.0,1.0
AOB_add_Gross_Margin,20220531,4451,4498,4.326589595375722,5,0.0,1.0
AOB_add_Gross_Margin,20220630,4487,4524,4.36737400530504,5,0.0,1.0
AOB_add_Gross_Margin,20220729,4519,4557,4.41430765854729,5,0.0,1.0
AOB_add_Gross_Margin,20220831,4567,4609,4.4033412887828165,5,0.0,1.0
AOB_add_Gross_Margin,20220930,4611,4655,4.399140708915145,5,0.0,1.0
AOB_add_Gross_Margin,20221031,4637,4685,4.383137673425827,5,0.0,1.0
AOB_add_Gross_Margin,20221130,4676,4727,4.386291516818278,5,0.0,1.0
AOB_add_Gross_Margin,20221230,4706,4779,4.372672107135384,5,0.0,1.0
AOB_add_Gross_Margin,20230131,4713,4785,4.376593521421108,5,0.0,1.0
AOB_add_Gross_Margin,20230228,4738,4813,4.370455017660503,5,0.0,1.0
AOB_add_Gross_Margin,20230331,4767,4846,4.368138671068923,5,0.0,1.0
AOB_add_Gross_Margin,20230428,4744,4824,4.347222222222222,5,0.0,1.0
AOB_add_Gross_Margin,20230531,4821,4890,4.29079754601227,5,0.0,1.0
AOB_add_Gross_Margin,20230630,4883,4939,4.308362016602551,5,0.0,1.0
AOB_add_Gross_Margin,20230731,4915,4968,4.34561191626409,5,0.0,1.0
AOB_add_Gross_Margin,20230831,4949,5001,4.335132973405319,5,0.0,1.0
AOB_add_Gross_Margin,20230928,4970,5018,4.3413710641689915,5,0.0,1.0
AOB_add_Gross_Margin,20231031,4988,5032,4.346184419713832,5,0.0,1.0
AOB_add_Gross_Margin,20231130,5002,5049,4.35016835016835,5,0.0,1.0
AOB_add_Gross_Margin,20231229,5014,5065,4.352615992102665,5,0.0,1.0
