period,period_start,period_end,strategy_id,d10_d1_period_count,d10_d1_annual_return,d10_d1_cumulative_return,d10_d1_max_drawdown,d10_d1_average_two_leg_turnover,top20_trading_days,top20_annual_return,benchmark_annual_return,top20_excess_annual_return,top20_cumulative_return,top20_max_drawdown,top20_average_monthly_turnover,rank_ic_mean,rank_ic_periods,average_valid_stock_count,average_valid_stock_coverage,average_available_component_count
2025H1,20250101,20250630,Fixed4_Equal,6,-0.17514838410829725,-0.09178658020721653,-0.07537601998004084,0.687033206842933,117,0.28413528170856894,0.09457406194100049,0.18956121976756846,0.12312070290758825,-0.13237561173706258,0.26889410241982176,0.002031788572043978,6,4245.333333333333,0.8235393039128528,3.4401869260852114
2025H1,20250101,20250630,Full11_Equal,6,0.04231508001338491,0.020938333109980167,-0.03212485106155938,0.6296339529107053,117,0.47064456929613985,0.09457406194100049,0.37607050735513936,0.19611088624876194,-0.17210531685036368,0.2766749364059562,-0.0057976311055892155,6,5149.0,0.998835149051761,10.380803621274376
2025H1,20250101,20250630,Grouped8_Equal,6,0.08669437808116931,0.042446343022588984,-0.01793558514034843,0.8192492483523964,117,0.42825275419918274,0.09457406194100049,0.33367869225818225,0.17997765326828885,-0.17927166937286176,0.3496846754068111,-0.02019662950668838,6,5142.666666666667,0.9976070297423235,7.733146632239609
2025H2,20250701,20251231,Fixed4_Equal,6,0.06528315774371163,0.0321255532849245,-0.06709523500003667,0.7264046983082802,126,0.37583665643866904,0.42745131490684285,-0.05161465846817381,0.1729606372076895,-0.06084256983103675,0.28495595259157985,0.06757681496677087,6,4085.5,0.7856573110711139,3.381838568314036
2025H2,20250701,20251231,Full11_Equal,6,0.019007585897857338,0.009459056077985473,-0.016520250257826996,0.7040257181857698,126,0.36833554942364644,0.42745131490684285,-0.059115765483196414,0.16975875693394427,-0.06878461572191319,0.3072593701171212,-0.011851371711738118,6,5197.666666666667,0.9995191723477114,10.329867674357876
2025H2,20250701,20251231,Grouped8_Equal,6,0.031213590179502093,0.015486873464892303,-0.0074275961270729995,0.8900986573442271,126,0.3933739131934848,0.42745131490684285,-0.034077401713358046,0.18041260294588723,-0.07240531354151791,0.36728083416512547,-0.022202859986583598,6,5190.5,0.9981418111698197,7.693439395146558
2026YTD,20260101,20260707,Fixed4_Equal,7,-0.21730545321025752,-0.13318015335937972,-0.23063427402819647,0.6751076833046351,121,-0.07964740923181102,0.1184684916761034,-0.19811590090791442,-0.039068758507367685,-0.14688251278877051,0.25341618895217,0.07092012813742997,7,4118.285714285715,0.7815633073570883,3.35563598664014
2026YTD,20260101,20260707,Full11_Equal,7,0.20151037111414016,0.11303218362238909,-0.02874857975136058,0.6674966215663722,121,0.03705518413395614,0.1184684916761034,-0.08141330754214726,0.017624148400346096,-0.1298582533841477,0.28201208474203715,0.04052638135366577,7,5262.571428571428,0.9987254576558265,10.301475558522185
2026YTD,20260101,20260707,Grouped8_Equal,7,0.22820620894594468,0.12739192104010932,-0.012393005438172122,0.8317624181638718,121,0.08322156022861282,0.1184684916761034,-0.03524693144749058,0.0391298308926451,-0.13232435058263048,0.35345487060959135,0.0385456596344667,7,5248.142857142857,0.9959880171248449,7.689047465596992
OOS_FULL,20250101,20260707,Fixed4_Equal,19,-0.12287253421799749,-0.18745150263107224,-0.23063427402819658,0.695072695475775,364,0.1773180971206041,0.20859249832457882,-0.03127440120397473,0.265908115872024,-0.14688251278877018,0.2682638764596631,0.04811013253657362,19,4148.0526315789475,0.7961117284949167,3.3906107827829723
OOS_FULL,20250101,20260707,Full11_Equal,19,0.09053483269038964,0.1470858997539226,-0.04138664987902818,0.6670754935549187,364,0.277139045003284,0.20859249832457882,0.06854654667870519,0.4238202077866957,-0.17210531685036368,0.2882994964385645,0.009357402766931392,19,5206.210526315789,0.9990107437888222,10.335492457023623
OOS_FULL,20250101,20260707,Grouped8_Equal,19,0.11816816002514141,0.19344646491028183,-0.030442418855073705,0.8462328611224655,364,0.291721808528576,0.20859249832457882,0.08312931020399716,0.4473628886649328,-0.17927166937286176,0.3566303764051979,0.0008117200253492089,19,5196.631578947368,0.9971794297550932,7.704360443341891
