factor,trade_date,portfolio_return,turnover,missing_return_count,suspended_return_count,invalid_missing_return_count,invalid_missing_weight,benchmark_return,excess_return
Fixed4_Equal,20250102,-0.017668835060764283,0.0,0,0,0,0.0,-0.02643029456770718,0.008761459506942897
Fixed4_Equal,20250103,-0.026326310988632935,0.32660332541567694,0,0,0,0.0,-0.02205099128630794,-0.004275319702324993
Fixed4_Equal,20250106,0.0005667001066992768,0.0,0,0,0,0.0,-0.002916679148822765,0.003483379255522042
Fixed4_Equal,20250107,0.01219722978200882,0.0,1,1,0,0.0,0.012789175710227196,-0.0005919459282183771
Fixed4_Equal,20250108,-0.0024919997007668525,0.0,1,1,0,0.0,-0.0018770213117834667,-0.0006149783889833858
Fixed4_Equal,20250109,-0.0014888441241934127,0.0,1,1,0,0.0,-0.00011495851820242375,-0.001373885605990989
Fixed4_Equal,20250110,-0.022575014908759617,0.0,2,2,0,0.0,-0.018185562625626206,-0.004389452283133411
Fixed4_Equal,20250113,-0.0008791078660427196,0.0,3,3,0,0.0,-0.0006726676924629915,-0.00020644017357972807
Fixed4_Equal,20250114,0.03791996026625541,0.0,3,3,0,0.0,0.03569007481551023,0.002229885450745178
Fixed4_Equal,20250115,-0.003614789641280748,0.0,2,2,0,0.0,-0.006067229613731406,0.0024524399724506585
Fixed4_Equal,20250116,0.00526902494502541,0.0,3,3,0,0.0,0.003521907215067399,0.001747117729958011
Fixed4_Equal,20250117,0.004641136645985086,0.0,2,2,0,0.0,0.0034050740854569828,0.0012360625605281035
Fixed4_Equal,20250120,0.008557771428813523,0.0,2,2,0,0.0,0.005923505166851584,0.0026342662619619397
Fixed4_Equal,20250121,-0.001032428543255234,0.0,1,1,0,0.0,0.001613046962835707,-0.002645475506090941
Fixed4_Equal,20250122,-0.007873732597174131,0.0,1,1,0,0.0,-0.009223073262070391,0.0013493406648962605
Fixed4_Equal,20250123,0.0003643038536028772,0.0,0,0,0,0.0,-0.0009380127647179437,0.001302316618320821
Fixed4_Equal,20250124,0.012358419710194149,0.0,0,0,0,0.0,0.010941803939814143,0.0014166157703800059
Fixed4_Equal,20250127,-0.00433248229120739,0.0,0,0,0,0.0,-0.008890970850099378,0.004558488558891988
Fixed4_Equal,20250205,0.00026033597250146173,0.0,0,0,0,0.0,0.0014111526432247778,-0.0011508166707233161
Fixed4_Equal,20250206,0.017188792766596975,0.20473372781065088,0,0,0,0.0,0.019264769591301967,-0.002075976824704992
Fixed4_Equal,20250207,0.011105239403184522,0.0,0,0,0,0.0,0.014266066576387182,-0.0031608271732026603
Fixed4_Equal,20250210,0.011256985083186285,0.0,0,0,0,0.0,0.009122409349922256,0.002134575733264029
Fixed4_Equal,20250211,0.0008095243733806527,0.0,1,1,0,0.0,-0.004201837808151532,0.005011362181532184
Fixed4_Equal,20250212,0.00805566676002274,0.0,1,1,0,0.0,0.01179223525667128,-0.003736568496648539
Fixed4_Equal,20250213,-0.010833032586161067,0.0,0,0,0,0.0,-0.006486292807732941,-0.004346739778428126
Fixed4_Equal,20250214,0.005134133788842408,0.0,0,0,0,0.0,0.0062775585980432425,-0.0011434248092008345
Fixed4_Equal,20250217,0.005033310131117027,0.0,0,0,0,0.0,0.005079704858191869,-4.639472707484212e-05
