path,before_exists,after_exists,before_size,after_size,before_mtime_ns,after_mtime_ns,unchanged
database/.env,True,True,71,71,1783488367379532900,1783488367379532900,True
database/AGENTS.md,True,True,5240,5240,1783871587305739600,1783871587305739600,True
database/README.md,True,True,2440,2440,1783441529583918000,1783441529583918000,True
database/configs/default.yaml,True,True,699,699,1783440338811293400,1783440338811293400,True
database/data/bronze/adj_factor/adj_factor-0069cdd68b8c.parquet,True,True,51931,51931,1783444953673700400,1783444953673700400,True
database/data/bronze/adj_factor/adj_factor-007726322ca7.parquet,True,True,53115,53115,1783445193253665900,1783445193253665900,True
database/data/bronze/adj_factor/adj_factor-00a1cf05c005.parquet,True,True,53540,53540,1783445208128015200,1783445208128015200,True
database/data/bronze/adj_factor/adj_factor-00a3363239f1.parquet,True,True,48407,48407,1783444976181189900,1783444976181189900,True
database/data/bronze/adj_factor/adj_factor-011060d68061.parquet,True,True,49942,49942,1783445105569405500,1783445105569405500,True
database/data/bronze/adj_factor/adj_factor-011bbff40ed9.parquet,True,True,54241,54241,1783445288502696900,1783445288502696900,True
database/data/bronze/adj_factor/adj_factor-01932b5e8848.parquet,True,True,53807,53807,1783445223276758500,1783445223276758500,True
database/data/bronze/adj_factor/adj_factor-01bbaea099b2.parquet,True,True,52499,52499,1783444969275690500,1783444969275690500,True
database/data/bronze/adj_factor/adj_factor-01caa8bba528.parquet,True,True,51544,51544,1783445132312072400,1783445132312072400,True
database/data/bronze/adj_factor/adj_factor-021ee7eb65ab.parquet,True,True,56619,56619,1783445370921544300,1783445370921544300,True
database/data/bronze/adj_factor/adj_factor-024ef88818c0.parquet,True,True,56548,56548,1783445350062060200,1783445350062060200,True
database/data/bronze/adj_factor/adj_factor-02a8723e7266.parquet,True,True,45290,45290,1783444803755472300,1783444803755472300,True
database/data/bronze/adj_factor/adj_factor-02c9359a1e64.parquet,True,True,41052,41052,1783444630053791700,1783444630053791700,True
database/data/bronze/adj_factor/adj_factor-02cef6e55eba.parquet,True,True,56827,56827,1783445393775091400,1783445393775091400,True
database/data/bronze/adj_factor/adj_factor-02e36d37ccf0.parquet,True,True,44750,44750,1783444769790194200,1783444769790194200,True
database/data/bronze/adj_factor/adj_factor-032be288bd1e.parquet,True,True,56565,56565,1783445355575040300,1783445355575040300,True
database/data/bronze/adj_factor/adj_factor-0359f64b9a8e.parquet,True,True,49092,49092,1783445020939440300,1783445020939440300,True
database/data/bronze/adj_factor/adj_factor-03b44f87307d.parquet,True,True,44230,44230,1783444735882724600,1783444735882724600,True
database/data/bronze/adj_factor/adj_factor-03eb09ed2bca.parquet,True,True,41576,41576,1783444660628287400,1783444660628287400,True
database/data/bronze/adj_factor/adj_factor-03f3f847fa13.parquet,True,True,56155,56155,1783445305512869900,1783445305512869900,True
database/data/bronze/adj_factor/adj_factor-0419da1b1e1e.parquet,True,True,44216,44216,1783444735475757300,1783444735475757300,True
database/data/bronze/adj_factor/adj_factor-041e294c6724.parquet,True,True,57032,57032,1783445443131741700,1783445443131741700,True
database/data/bronze/adj_factor/adj_factor-0445176b65e1.parquet,True,True,42967,42967,1783444681178685600,1783444681178685600,True
database/data/bronze/adj_factor/adj_factor-04bfc2e97e97.parquet,True,True,56875,56875,1783445418977951300,1783445418977951300,True
database/data/bronze/adj_factor/adj_factor-04ffb3b1e3e9.parquet,True,True,53779,53779,1783445224336410000,1783445224336410000,True
database/data/bronze/adj_factor/adj_factor-0506e9db187a.parquet,True,True,51265,51265,1783444884906662600,1783444884906662600,True
database/data/bronze/adj_factor/adj_factor-05670ba8dcf2.parquet,True,True,41004,41004,1783444626523568400,1783444626523568400,True
database/data/bronze/adj_factor/adj_factor-05abd0cbe188.parquet,True,True,44648,44648,1783444760523146600,1783444760523146600,True
database/data/bronze/adj_factor/adj_factor-05fdaac95ea8.parquet,True,True,44397,44397,1783444745543986600,1783444745543986600,True
database/data/bronze/adj_factor/adj_factor-0652c802b14a.parquet,True,True,45830,45830,1783444812211583200,1783444812211583200,True
database/data/bronze/adj_factor/adj_factor-06550936d1d4.parquet,True,True,50252,50252,1783444848046244000,1783444848046244000,True
database/data/bronze/adj_factor/adj_factor-068007c87d7f.parquet,True,True,53823,53823,1783445227521522700,1783445227521522700,True
database/data/bronze/adj_factor/adj_factor-06b66da74bf9.parquet,True,True,53979,53979,1783445246738941200,1783445246738941200,True
database/data/bronze/adj_factor/adj_factor-06f2b42c228e.parquet,True,True,51790,51790,1783444945843757600,1783444945843757600,True
database/data/bronze/adj_factor/adj_factor-06feadc7453b.parquet,True,True,1409,1409,1783444717724673700,1783444717724673700,True
database/data/bronze/adj_factor/adj_factor-076d3079403a.parquet,True,True,44080,44080,1783444729702694200,1783444729702694200,True
database/data/bronze/adj_factor/adj_factor-07d938a41511.parquet,True,True,41019,41019,1783444627710932300,1783444627710932300,True
database/data/bronze/adj_factor/adj_factor-0869700be80f.parquet,True,True,56799,56799,1783445391109999700,1783445391109999700,True
database/data/bronze/adj_factor/adj_factor-08725e3d06d7.parquet,True,True,51450,51450,1783445131290954600,1783445131290954600,True
database/data/bronze/adj_factor/adj_factor-0891fff0f3b7.parquet,True,True,52799,52799,1783445184951409800,1783445184951409800,True
database/data/bronze/adj_factor/adj_factor-08c59285379c.parquet,True,True,56507,56507,1783445310759510400,1783445310759510400,True
database/data/bronze/adj_factor/adj_factor-090c67894121.parquet,True,True,49420,49420,1783445048620823200,1783445048620823200,True
database/data/bronze/adj_factor/adj_factor-090d492533fd.parquet,True,True,53982,53982,1783445244404846400,1783445244404846400,True
database/data/bronze/adj_factor/adj_factor-0910eff93b1d.parquet,True,True,50873,50873,1783444866412929700,1783444866412929700,True
database/data/bronze/adj_factor/adj_factor-091615dbc174.parquet,True,True,51768,51768,1783444940893548700,1783444940893548700,True
database/data/bronze/adj_factor/adj_factor-093b4cf82d7e.parquet,True,True,53934,53934,1783445228653100400,1783445228653100400,True
database/data/bronze/adj_factor/adj_factor-094adb31ba6a.parquet,True,True,50393,50393,1783444850920468900,1783444850920468900,True
database/data/bronze/adj_factor/adj_factor-096388dc7cf5.parquet,True,True,48886,48886,1783444995908421400,1783444995908421400,True
database/data/bronze/adj_factor/adj_factor-09f70e7fc159.parquet,True,True,51615,51615,1783444917910444900,1783444917910444900,True
database/data/bronze/adj_factor/adj_factor-0a1017073c4f.parquet,True,True,56832,56832,1783445405054925400,1783445405054925400,True
database/data/bronze/adj_factor/adj_factor-0aa1d789bac0.parquet,True,True,54117,54117,1783445275251576900,1783445275251576900,True
database/data/bronze/adj_factor/adj_factor-0ad9d8038bfb.parquet,True,True,45126,45126,1783444798003102400,1783444798003102400,True
database/data/bronze/adj_factor/adj_factor-0b1dcaa6424e.parquet,True,True,49072,49072,1783445014617345700,1783445014617345700,True
database/data/bronze/adj_factor/adj_factor-0b9a6e00f672.parquet,True,True,56515,56515,1783445312148851400,1783445312148851400,True
database/data/bronze/adj_factor/adj_factor-0bba7d682f45.parquet,True,True,56592,56592,1783445356424726200,1783445356424726200,True
database/data/bronze/adj_factor/adj_factor-0be07080b214.parquet,True,True,49484,49484,1783445054263596200,1783445054263596200,True
database/data/bronze/adj_factor/adj_factor-0be9d8c783ca.parquet,True,True,44461,44461,1783444750216113900,1783444750216113900,True
database/data/bronze/adj_factor/adj_factor-0c77bdbddd8c.parquet,True,True,42583,42583,1783444676861026400,1783444676861026400,True
database/data/bronze/adj_factor/adj_factor-0c81d1778ff4.parquet,True,True,50009,50009,1783445116390913600,1783445116390913600,True
